DATASET,AM,alpha,n_1,d,normalise,kernel,k0,fdr,features
brca_cds,TR,0.1,0.3,100,0,gaussian,1,1.0,"5275,2102,1442,10227,4654,8201,1346,471,2581,11576,5788,5312,8245,16707,8125,17217,438,10247,10373,10657,10691,12164,14597,2970,1296,15805,1868,8236,9259,11849,15506,18764,6456,10367,12381,16657,2939,8132,12154,14749,8140,10216,6750,10723,940,13427,11059,5210,10908,1740,13318,11230,806,1321,6640,6370,5273,15238,13282,2289,9984,3845,11592,6829,8183,16106,7423,14564,4488,7231,1722,1445,12734,10338,3247,15641,10668,9022,9498,16674,5172,13204,2829,17880,6892,8633,11899,3425,10976,7331,15218,15355,4661,8232,11262,294,3278,949,15634,1488"
brca_cds,TR,0.15,0.3,100,0,gaussian,1,1.0,"5275,2102,1442,10227,4654,8201,1346,471,2581,11576,5788,5312,8245,16707,8125,17217,438,10247,10373,10657,10691,12164,14597,2970,1296,15805,1868,8236,9259,11849,15506,18764,6456,10367,12381,16657,2939,8132,12154,14749,8140,10216,6750,10723,940,13427,11059,5210,10908,1740,13318,11230,806,1321,6640,6370,5273,15238,13282,2289,9984,3845,11592,6829,8183,16106,7423,14564,4488,7231,1722,1445,12734,10338,3247,15641,10668,9022,9498,16674,5172,13204,2829,17880,6892,8633,11899,3425,10976,7331,15218,15355,4661,8232,11262,294,3278,949,15634,1488"
brca_cds,TR,0.2,0.3,100,0,gaussian,1,1.0,"5275,2102,1442,10227,4654,8201,1346,471,2581,11576,5788,5312,8245,16707,8125,17217,438,10247,10373,10657,10691,12164,14597,2970,1296,15805,1868,8236,9259,11849,15506,18764,6456,10367,12381,16657,2939,8132,12154,14749,8140,10216,6750,10723,940,13427,11059,5210,10908,1740,13318,11230,806,1321,6640,6370,5273,15238,13282,2289,9984,3845,11592,6829,8183,16106,7423,14564,4488,7231,1722,1445,12734,10338,3247,15641,10668,9022,9498,16674,5172,13204,2829,17880,6892,8633,11899,3425,10976,7331,15218,15355,4661,8232,11262,294,3278,949,15634,1488"
brca_cds,TR,0.25,0.3,100,0,gaussian,1,1.0,"5275,2102,1442,10227,4654,8201,1346,471,2581,11576,5788,5312,8245,16707,8125,17217,438,10247,10373,10657,10691,12164,14597,2970,1296,15805,1868,8236,9259,11849,15506,18764,6456,10367,12381,16657,2939,8132,12154,14749,8140,10216,6750,10723,940,13427,11059,5210,10908,1740,13318,11230,806,1321,6640,6370,5273,15238,13282,2289,9984,3845,11592,6829,8183,16106,7423,14564,4488,7231,1722,1445,12734,10338,3247,15641,10668,9022,9498,16674,5172,13204,2829,17880,6892,8633,11899,3425,10976,7331,15218,15355,4661,8232,11262,294,3278,949,15634,1488"
brca_cds,TR,0.3,0.3,100,0,gaussian,1,1.0,"5275,2102,1442,10227,4654,8201,1346,471,2581,11576,5788,5312,8245,16707,8125,17217,438,10247,10373,10657,10691,12164,14597,2970,1296,15805,1868,8236,9259,11849,15506,18764,6456,10367,12381,16657,2939,8132,12154,14749,8140,10216,6750,10723,940,13427,11059,5210,10908,1740,13318,11230,806,1321,6640,6370,5273,15238,13282,2289,9984,3845,11592,6829,8183,16106,7423,14564,4488,7231,1722,1445,12734,10338,3247,15641,10668,9022,9498,16674,5172,13204,2829,17880,6892,8633,11899,3425,10976,7331,15218,15355,4661,8232,11262,294,3278,949,15634,1488"
brca_cds,TR,0.35,0.3,100,0,gaussian,1,1.0,"5275,2102,1442,10227,4654,8201,1346,471,2581,11576,5788,5312,8245,16707,8125,17217,438,10247,10373,10657,10691,12164,14597,2970,1296,15805,1868,8236,9259,11849,15506,18764,6456,10367,12381,16657,2939,8132,12154,14749,8140,10216,6750,10723,940,13427,11059,5210,10908,1740,13318,11230,806,1321,6640,6370,5273,15238,13282,2289,9984,3845,11592,6829,8183,16106,7423,14564,4488,7231,1722,1445,12734,10338,3247,15641,10668,9022,9498,16674,5172,13204,2829,17880,6892,8633,11899,3425,10976,7331,15218,15355,4661,8232,11262,294,3278,949,15634,1488"
brca_cds,TR,0.4,0.3,100,0,gaussian,1,1.0,"5275,2102,1442,10227,4654,8201,1346,471,2581,11576,5788,5312,8245,16707,8125,17217,438,10247,10373,10657,10691,12164,14597,2970,1296,15805,1868,8236,9259,11849,15506,18764,6456,10367,12381,16657,2939,8132,12154,14749,8140,10216,6750,10723,940,13427,11059,5210,10908,1740,13318,11230,806,1321,6640,6370,5273,15238,13282,2289,9984,3845,11592,6829,8183,16106,7423,14564,4488,7231,1722,1445,12734,10338,3247,15641,10668,9022,9498,16674,5172,13204,2829,17880,6892,8633,11899,3425,10976,7331,15218,15355,4661,8232,11262,294,3278,949,15634,1488"
brca_cds,TR,0.45,0.3,100,0,gaussian,1,1.0,"5275,2102,1442,10227,4654,8201,1346,471,2581,11576,5788,5312,8245,16707,8125,17217,438,10247,10373,10657,10691,12164,14597,2970,1296,15805,1868,8236,9259,11849,15506,18764,6456,10367,12381,16657,2939,8132,12154,14749,8140,10216,6750,10723,940,13427,11059,5210,10908,1740,13318,11230,806,1321,6640,6370,5273,15238,13282,2289,9984,3845,11592,6829,8183,16106,7423,14564,4488,7231,1722,1445,12734,10338,3247,15641,10668,9022,9498,16674,5172,13204,2829,17880,6892,8633,11899,3425,10976,7331,15218,15355,4661,8232,11262,294,3278,949,15634,1488"
brca_cds,TR,0.5,0.3,100,0,gaussian,1,1.0,"5275,2102,1442,10227,4654,8201,1346,471,2581,11576,5788,5312,8245,16707,8125,17217,438,10247,10373,10657,10691,12164,14597,2970,1296,15805,1868,8236,9259,11849,15506,18764,6456,10367,12381,16657,2939,8132,12154,14749,8140,10216,6750,10723,940,13427,11059,5210,10908,1740,13318,11230,806,1321,6640,6370,5273,15238,13282,2289,9984,3845,11592,6829,8183,16106,7423,14564,4488,7231,1722,1445,12734,10338,3247,15641,10668,9022,9498,16674,5172,13204,2829,17880,6892,8633,11899,3425,10976,7331,15218,15355,4661,8232,11262,294,3278,949,15634,1488"
brca_cds,TR,0.55,0.3,100,0,gaussian,1,1.0,"5275,2102,1442,10227,4654,8201,1346,471,2581,11576,5788,5312,8245,16707,8125,17217,438,10247,10373,10657,10691,12164,14597,2970,1296,15805,1868,8236,9259,11849,15506,18764,6456,10367,12381,16657,2939,8132,12154,14749,8140,10216,6750,10723,940,13427,11059,5210,10908,1740,13318,11230,806,1321,6640,6370,5273,15238,13282,2289,9984,3845,11592,6829,8183,16106,7423,14564,4488,7231,1722,1445,12734,10338,3247,15641,10668,9022,9498,16674,5172,13204,2829,17880,6892,8633,11899,3425,10976,7331,15218,15355,4661,8232,11262,294,3278,949,15634,1488"
