DATASET,fold,AM,alpha,features,accuracy,sensitivity,specificity
tcga.R-BRCA,2,DC,0.1,"11546,8740,12371,16881,10619,35617,28577,12274,34260,9162,27406,38033,12087,5521,6792,48755,3227,9797,49475,9744,11687,9742,16284,11138,7695,26817,37382,12362,2593,30516,16545,7228,5362,25676,12554,7518,14946,6837,28483,27272,7717,8086,3226,56285,14268,5894,2010,17135,54635,9553,12448,4202,37584,17906,5112,20078,3516,36039,25225,9053,15089,54388,12838,15193,42335,4594,10282,11323,3607,12587,2609,7572,54469,4544,3892,38971,2597,28429,2084,1456,3316,2991,1392,12656,55385,7393,32149,53850,15240,9743,29965",1.0,1.0,1.0
tcga.R-BRCA,2,DC,0.15,"11546,8740,12371,16881,10619,35617,28577,12274,34260,9162,27406,38033,12087,5521,6792,48755,3227,9797,49475,9744,11687,9742,16284,11138,7695,26817,37382,12362,2593,30516,16545,7228,5362,25676,12554,7518,14946,6837,28483,27272,7717,8086,3226,56285,14268,5894,2010,17135,54635,9553,12448,4202,37584,17906,5112,20078,3516,36039,25225,9053,15089,54388,12838,15193,42335,4594,10282,11323,3607,12587,2609,7572,54469,4544,3892,38971,2597,28429,2084,1456,3316,2991,1392,12656,55385,7393,32149,53850,15240,9743,29965",1.0,1.0,1.0
tcga.R-BRCA,2,DC,0.2,"11546,8740,12371,16881,10619,35617,28577,12274,34260,9162,27406,38033,12087,5521,6792,48755,3227,9797,49475,9744,11687,9742,16284,11138,7695,26817,37382,12362,2593,30516,16545,7228,5362,25676,12554,7518,14946,6837,28483,27272,7717,8086,3226,56285,14268,5894,2010,17135,54635,9553,12448,4202,37584,17906,5112,20078,3516,36039,25225,9053,15089,54388,12838,15193,42335,4594,10282,11323,3607,12587,2609,7572,54469,4544,3892,38971,2597,28429,2084,1456,3316,2991,1392,12656,55385,7393,32149,53850,15240,9743,29965",1.0,1.0,1.0
tcga.R-BRCA,2,DC,0.25,"11546,8740,12371,16881,10619,35617,28577,12274,34260,9162,27406,38033,12087,5521,6792,48755,3227,9797,49475,9744,11687,9742,16284,11138,7695,26817,37382,12362,2593,30516,16545,7228,5362,25676,12554,7518,14946,6837,28483,27272,7717,8086,3226,56285,14268,5894,2010,17135,54635,9553,12448,4202,37584,17906,5112,20078,3516,36039,25225,9053,15089,54388,12838,15193,42335,4594,10282,11323,3607,12587,2609,7572,54469,4544,3892,38971,2597,28429,2084,1456,3316,2991,1392,12656,55385,7393,32149,53850,15240,9743,29965",1.0,1.0,1.0
tcga.R-BRCA,2,DC,0.3,"11546,8740,12371,16881,10619,35617,28577,12274,34260,9162,27406,38033,12087,5521,6792,48755,3227,9797,49475,9744,11687,9742,16284,11138,7695,26817,37382,12362,2593,30516,16545,7228,5362,25676,12554,7518,14946,6837,28483,27272,7717,8086,3226,56285,14268,5894,2010,17135,54635,9553,12448,4202,37584,17906,5112,20078,3516,36039,25225,9053,15089,54388,12838,15193,42335,4594,10282,11323,3607,12587,2609,7572,54469,4544,3892,38971,2597,28429,2084,1456,3316,2991,1392,12656,55385,7393,32149,53850,15240,9743,29965",1.0,1.0,1.0
tcga.R-BRCA,2,DC,0.35,"11546,8740,12371,16881,10619,35617,28577,12274,34260,9162,27406,38033,12087,5521,6792,48755,3227,9797,49475,9744,11687,9742,16284,11138,7695,26817,37382,12362,2593,30516,16545,7228,5362,25676,12554,7518,14946,6837,28483,27272,7717,8086,3226,56285,14268,5894,2010,17135,54635,9553,12448,4202,37584,17906,5112,20078,3516,36039,25225,9053,15089,54388,12838,15193,42335,4594,10282,11323,3607,12587,2609,7572,54469,4544,3892,38971,2597,28429,2084,1456,3316,2991,1392,12656,55385,7393,32149,53850,15240,9743,29965",1.0,1.0,1.0
tcga.R-BRCA,2,DC,0.4,"11546,8740,12371,16881,10619,35617,28577,12274,34260,9162,27406,38033,12087,5521,6792,48755,3227,9797,49475,9744,11687,9742,16284,11138,7695,26817,37382,12362,2593,30516,16545,7228,5362,25676,12554,7518,14946,6837,28483,27272,7717,8086,3226,56285,14268,5894,2010,17135,54635,9553,12448,4202,37584,17906,5112,20078,3516,36039,25225,9053,15089,54388,12838,15193,42335,4594,10282,11323,3607,12587,2609,7572,54469,4544,3892,38971,2597,28429,2084,1456,3316,2991,1392,12656,55385,7393,32149,53850,15240,9743,29965",1.0,1.0,1.0
tcga.R-BRCA,2,DC,0.45,"11546,8740,12371,16881,10619,35617,28577,12274,34260,9162,27406,38033,12087,5521,6792,48755,3227,9797,49475,9744,11687,9742,16284,11138,7695,26817,37382,12362,2593,30516,16545,7228,5362,25676,12554,7518,14946,6837,28483,27272,7717,8086,3226,56285,14268,5894,2010,17135,54635,9553,12448,4202,37584,17906,5112,20078,3516,36039,25225,9053,15089,54388,12838,15193,42335,4594,10282,11323,3607,12587,2609,7572,54469,4544,3892,38971,2597,28429,2084,1456,3316,2991,1392,12656,55385,7393,32149,53850,15240,9743,29965",1.0,1.0,1.0
tcga.R-BRCA,2,DC,0.5,"11546,8740,12371,16881,10619,35617,28577,12274,34260,9162,27406,38033,12087,5521,6792,48755,3227,9797,49475,9744,11687,9742,16284,11138,7695,26817,37382,12362,2593,30516,16545,7228,5362,25676,12554,7518,14946,6837,28483,27272,7717,8086,3226,56285,14268,5894,2010,17135,54635,9553,12448,4202,37584,17906,5112,20078,3516,36039,25225,9053,15089,54388,12838,15193,42335,4594,10282,11323,3607,12587,2609,7572,54469,4544,3892,38971,2597,28429,2084,1456,3316,2991,1392,12656,55385,7393,32149,53850,15240,9743,29965",1.0,1.0,1.0
tcga.R-BRCA,2,DC,0.55,"11546,8740,12371,16881,10619,35617,28577,12274,34260,9162,27406,38033,12087,5521,6792,48755,3227,9797,49475,9744,11687,9742,16284,11138,7695,26817,37382,12362,2593,30516,16545,7228,5362,25676,12554,7518,14946,6837,28483,27272,7717,8086,3226,56285,14268,5894,2010,17135,54635,9553,12448,4202,37584,17906,5112,20078,3516,36039,25225,9053,15089,54388,12838,15193,42335,4594,10282,11323,3607,12587,2609,7572,54469,4544,3892,38971,2597,28429,2084,1456,3316,2991,1392,12656,55385,7393,32149,53850,15240,9743,29965",1.0,1.0,1.0
