DATASET,AM,alpha,n_1,d,normalise,kernel,k0,fdr,features
brca_cds,HSIC,0.1,0.3,100,0,distance,1,1.0,"11208,9535,8923,8513,9484,16001,7033,11989,16661,14457,7317,13654,3535,6434,5396,14419,10680,4853,11175,1062,10318,9301,6568,2551,15534,2547,7192,9482,4458,17942,4121,10822,14219,15799,15312,12162,11189,9997,4506,14182,1978,11148,9180,6044,8965,11628,11725,6540,3166,6807,14060,18215,14333,9453,1401,924,9528,16480,16249,18775,9654,5749,2563,7871,13697,14865,7035,7234,1554,2938,3450,3165,15019,18122,16605,2432,11985,9300,11346,2793,9512,10706,15527,15377,12862,1352,3176,4228,16611,2051,9531,10872"
brca_cds,HSIC,0.15,0.3,100,0,distance,1,1.0,"11208,9535,8923,8513,9484,16001,7033,11989,16661,14457,7317,13654,3535,6434,5396,14419,10680,4853,11175,1062,10318,9301,6568,2551,15534,2547,7192,9482,4458,17942,4121,10822,14219,15799,15312,12162,11189,9997,4506,14182,1978,11148,9180,6044,8965,11628,11725,6540,3166,6807,14060,18215,14333,9453,1401,924,9528,16480,16249,18775,9654,5749,2563,7871,13697,14865,7035,7234,1554,2938,3450,3165,15019,18122,16605,2432,11985,9300,11346,2793,9512,10706,15527,15377,12862,1352,3176,4228,16611,2051,9531,10872"
brca_cds,HSIC,0.2,0.3,100,0,distance,1,1.0,"11208,9535,8923,8513,9484,16001,7033,11989,16661,14457,7317,13654,3535,6434,5396,14419,10680,4853,11175,1062,10318,9301,6568,2551,15534,2547,7192,9482,4458,17942,4121,10822,14219,15799,15312,12162,11189,9997,4506,14182,1978,11148,9180,6044,8965,11628,11725,6540,3166,6807,14060,18215,14333,9453,1401,924,9528,16480,16249,18775,9654,5749,2563,7871,13697,14865,7035,7234,1554,2938,3450,3165,15019,18122,16605,2432,11985,9300,11346,2793,9512,10706,15527,15377,12862,1352,3176,4228,16611,2051,9531,10872"
brca_cds,HSIC,0.25,0.3,100,0,distance,1,1.0,"11208,9535,8923,8513,9484,16001,7033,11989,16661,14457,7317,13654,3535,6434,5396,14419,10680,4853,11175,1062,10318,9301,6568,2551,15534,2547,7192,9482,4458,17942,4121,10822,14219,15799,15312,12162,11189,9997,4506,14182,1978,11148,9180,6044,8965,11628,11725,6540,3166,6807,14060,18215,14333,9453,1401,924,9528,16480,16249,18775,9654,5749,2563,7871,13697,14865,7035,7234,1554,2938,3450,3165,15019,18122,16605,2432,11985,9300,11346,2793,9512,10706,15527,15377,12862,1352,3176,4228,16611,2051,9531,10872"
brca_cds,HSIC,0.3,0.3,100,0,distance,1,1.0,"11208,9535,8923,8513,9484,16001,7033,11989,16661,14457,7317,13654,3535,6434,5396,14419,10680,4853,11175,1062,10318,9301,6568,2551,15534,2547,7192,9482,4458,17942,4121,10822,14219,15799,15312,12162,11189,9997,4506,14182,1978,11148,9180,6044,8965,11628,11725,6540,3166,6807,14060,18215,14333,9453,1401,924,9528,16480,16249,18775,9654,5749,2563,7871,13697,14865,7035,7234,1554,2938,3450,3165,15019,18122,16605,2432,11985,9300,11346,2793,9512,10706,15527,15377,12862,1352,3176,4228,16611,2051,9531,10872"
brca_cds,HSIC,0.35,0.3,100,0,distance,1,1.0,"11208,9535,8923,8513,9484,16001,7033,11989,16661,14457,7317,13654,3535,6434,5396,14419,10680,4853,11175,1062,10318,9301,6568,2551,15534,2547,7192,9482,4458,17942,4121,10822,14219,15799,15312,12162,11189,9997,4506,14182,1978,11148,9180,6044,8965,11628,11725,6540,3166,6807,14060,18215,14333,9453,1401,924,9528,16480,16249,18775,9654,5749,2563,7871,13697,14865,7035,7234,1554,2938,3450,3165,15019,18122,16605,2432,11985,9300,11346,2793,9512,10706,15527,15377,12862,1352,3176,4228,16611,2051,9531,10872"
brca_cds,HSIC,0.4,0.3,100,0,distance,1,1.0,"11208,9535,8923,8513,9484,16001,7033,11989,16661,14457,7317,13654,3535,6434,5396,14419,10680,4853,11175,1062,10318,9301,6568,2551,15534,2547,7192,9482,4458,17942,4121,10822,14219,15799,15312,12162,11189,9997,4506,14182,1978,11148,9180,6044,8965,11628,11725,6540,3166,6807,14060,18215,14333,9453,1401,924,9528,16480,16249,18775,9654,5749,2563,7871,13697,14865,7035,7234,1554,2938,3450,3165,15019,18122,16605,2432,11985,9300,11346,2793,9512,10706,15527,15377,12862,1352,3176,4228,16611,2051,9531,10872"
brca_cds,HSIC,0.45,0.3,100,0,distance,1,1.0,"11208,9535,8923,8513,9484,16001,7033,11989,16661,14457,7317,13654,3535,6434,5396,14419,10680,4853,11175,1062,10318,9301,6568,2551,15534,2547,7192,9482,4458,17942,4121,10822,14219,15799,15312,12162,11189,9997,4506,14182,1978,11148,9180,6044,8965,11628,11725,6540,3166,6807,14060,18215,14333,9453,1401,924,9528,16480,16249,18775,9654,5749,2563,7871,13697,14865,7035,7234,1554,2938,3450,3165,15019,18122,16605,2432,11985,9300,11346,2793,9512,10706,15527,15377,12862,1352,3176,4228,16611,2051,9531,10872"
brca_cds,HSIC,0.5,0.3,100,0,distance,1,1.0,"11208,9535,8923,8513,9484,16001,7033,11989,16661,14457,7317,13654,3535,6434,5396,14419,10680,4853,11175,1062,10318,9301,6568,2551,15534,2547,7192,9482,4458,17942,4121,10822,14219,15799,15312,12162,11189,9997,4506,14182,1978,11148,9180,6044,8965,11628,11725,6540,3166,6807,14060,18215,14333,9453,1401,924,9528,16480,16249,18775,9654,5749,2563,7871,13697,14865,7035,7234,1554,2938,3450,3165,15019,18122,16605,2432,11985,9300,11346,2793,9512,10706,15527,15377,12862,1352,3176,4228,16611,2051,9531,10872"
brca_cds,HSIC,0.55,0.3,100,0,distance,1,1.0,"11208,9535,8923,8513,9484,16001,7033,11989,16661,14457,7317,13654,3535,6434,5396,14419,10680,4853,11175,1062,10318,9301,6568,2551,15534,2547,7192,9482,4458,17942,4121,10822,14219,15799,15312,12162,11189,9997,4506,14182,1978,11148,9180,6044,8965,11628,11725,6540,3166,6807,14060,18215,14333,9453,1401,924,9528,16480,16249,18775,9654,5749,2563,7871,13697,14865,7035,7234,1554,2938,3450,3165,15019,18122,16605,2432,11985,9300,11346,2793,9512,10706,15527,15377,12862,1352,3176,4228,16611,2051,9531,10872"
