DATASET,AM,alpha,n_1,d,normalise,kernel,k0,fdr,features
mnist_full,DC,0.1,0.3,100,0,gaussian,1,-1,
mnist_full,DC,0.15,0.3,100,0,gaussian,1,-1,
mnist_full,DC,0.2,0.3,100,0,gaussian,1,-1,
mnist_full,DC,0.25,0.3,100,0,gaussian,1,-1,
mnist_full,DC,0.3,0.3,100,0,gaussian,1,-1,
mnist_full,DC,0.35,0.3,100,0,gaussian,1,-1,
mnist_full,DC,0.4,0.3,100,0,gaussian,1,-1,
mnist_full,DC,0.45,0.3,100,0,gaussian,1,-1,
mnist_full,DC,0.5,0.3,100,0,gaussian,1,-1,
mnist_full,DC,0.55,0.3,100,0,gaussian,1,-1,
mnist_full,DC,0.6,0.3,100,0,gaussian,1,-1,
mnist_full,DC,0.65,0.3,100,0,gaussian,1,-1,
mnist_full,DC,0.7,0.3,100,0,gaussian,1,1.0,"350,183,155,153,156,404,518,290,623,403,186,178,551,491,291,550,594,605,606,577,567,266,150,188,651,568,593,126,565,652,626,125,604,124,552,128"
mnist_full,DC,0.75,0.3,100,0,gaussian,1,1.0,"350,183,155,153,156,404,518,290,623,403,186,178,551,491,291,550,594,605,606,577,567,266,150,188,651,568,593,126,565,652,626,125,604,124,552,128"
mnist_full,DC,0.8,0.3,100,0,gaussian,1,1.0,"350,183,155,153,156,404,624,157,518,290,623,403,595,262,186,178,625,578,158,551,491,291,523,550,594,519,597,605,606,577,495,159,567,566,266,622,316,150,188,317,651,568,593,126,565,652,626,402,125,604,524,124,552,607,128"
mnist_full,DC,0.85,0.3,100,0,gaussian,1,1.0,"350,183,155,153,156,404,624,157,518,290,623,403,595,262,186,178,625,578,158,551,491,291,523,550,594,519,597,605,606,577,495,159,567,566,266,622,316,150,188,317,651,568,593,126,565,652,626,402,125,604,524,124,552,607,128"
mnist_full,DC,0.9,0.3,100,0,gaussian,1,1.0,"350,183,155,153,156,404,624,157,518,290,623,403,595,262,186,178,625,578,158,551,491,291,523,550,594,519,597,605,606,577,495,159,567,566,266,622,316,150,188,317,651,568,593,126,565,652,626,402,125,604,524,124,552,607,128"
mnist_full,TR,0.1,0.3,100,0,gaussian,1,1.0,"518,289,517,264,288,290,263,287,316,490,265,711,291,710,315,262,712,491,317,545,489,709,713,738,739,715,714,519,314,516,737,261,546,740,742,356,708,343,357,286,260,544,355,736,741,266,716,342,743,292,328,259,463,313,341,237,329,312,344,327,318,330,238,744,735,284,358,340,258,462,717,285,354,236,707,383,283,301,300,386,370,464,257,384,488,239,547,369,235,299,311,267,326,398,745,331,769,768,256,492"
mnist_full,TR,0.15,0.3,100,0,gaussian,1,1.0,"518,289,517,264,288,290,263,287,316,490,265,711,291,710,315,262,712,491,317,545,489,709,713,738,739,715,714,519,314,516,737,261,546,740,742,356,708,343,357,286,260,544,355,736,741,266,716,342,743,292,328,259,463,313,341,237,329,312,344,327,318,330,238,744,735,284,358,340,258,462,717,285,354,236,707,383,283,301,300,386,370,464,257,384,488,239,547,369,235,299,311,267,326,398,745,331,769,768,256,492"
mnist_full,TR,0.2,0.3,100,0,gaussian,1,1.0,"518,289,517,264,288,290,263,287,316,490,265,711,291,710,315,262,712,491,317,545,489,709,713,738,739,715,714,519,314,516,737,261,546,740,742,356,708,343,357,286,260,544,355,736,741,266,716,342,743,292,328,259,463,313,341,237,329,312,344,327,318,330,238,744,735,284,358,340,258,462,717,285,354,236,707,383,283,301,300,386,370,464,257,384,488,239,547,369,235,299,311,267,326,398,745,331,769,768,256,492"
mnist_full,TR,0.25,0.3,100,0,gaussian,1,1.0,"518,289,517,264,288,290,263,287,316,490,265,711,291,710,315,262,712,491,317,545,489,709,713,738,739,715,714,519,314,516,737,261,546,740,742,356,708,343,357,286,260,544,355,736,741,266,716,342,743,292,328,259,463,313,341,237,329,312,344,327,318,330,238,744,735,284,358,340,258,462,717,285,354,236,707,383,283,301,300,386,370,464,257,384,488,239,547,369,235,299,311,267,326,398,745,331,769,768,256,492"
