DATASET,fold,AM,alpha,features,accuracy,sensitivity,specificity
MNIST.py,1,pearson_correlation,0.1,,,,
MNIST.py,1,pearson_correlation,0.15,,,,
MNIST.py,1,pearson_correlation,0.2,,,,
MNIST.py,1,pearson_correlation,0.25,,,,
MNIST.py,1,pearson_correlation,0.3,,,,
MNIST.py,1,pearson_correlation,0.35,"519,292,714",0.72,0.6774193548387096,0.7619047619047619
MNIST.py,1,pearson_correlation,0.4,"519,237,292,714,738",0.816,0.7903225806451613,0.8412698412698413
MNIST.py,1,pearson_correlation,0.45,"519,237,292,714,738",0.824,0.8064516129032258,0.8412698412698413
MNIST.py,1,pearson_correlation,0.5,"519,237,292,714,738",0.824,0.8064516129032258,0.8412698412698413
MNIST.py,1,pearson_correlation,0.55,"519,237,292,714,738",0.824,0.8225806451612904,0.8253968253968254
MNIST.py,1,pearson_correlation,0.6,"518,261,519,546,266,316,237,292,714,712,464,738,267,313,299",0.904,0.9354838709677419,0.873015873015873
MNIST.py,1,pearson_correlation,0.65,"518,264,261,519,490,546,266,316,237,292,714,712,464,738,267,739,232,313,299,385",0.896,0.9032258064516129,0.8888888888888888
MNIST.py,1,pearson_correlation,0.7,"518,264,261,290,519,490,546,291,266,316,237,292,715,714,712,235,464,738,267,739,232,716,740,313,299,385",0.896,0.9193548387096774,0.873015873015873
MNIST.py,1,pearson_correlation,0.75,"518,264,261,290,519,490,546,291,266,316,237,292,715,714,712,235,464,738,267,739,232,716,740,313,299,385",0.904,0.9354838709677419,0.873015873015873
MNIST.py,1,pearson_correlation,0.8,"518,264,261,290,519,490,546,291,266,316,237,292,715,714,712,235,464,738,267,739,232,716,740,313,299,385",0.912,0.9354838709677419,0.8888888888888888
MNIST.py,1,pearson_correlation,0.85,"518,264,261,290,519,490,546,291,266,517,316,237,292,715,714,712,235,464,738,267,739,232,716,740,313,299,385",0.904,0.9354838709677419,0.873015873015873
MNIST.py,1,pearson_correlation,0.9,"263,262,518,264,289,491,261,290,519,490,546,291,287,266,517,316,237,292,715,492,714,712,235,464,713,709,738,267,739,232,716,742,301,740,313,300,516,299,341,326,744,385",0.904,0.9193548387096774,0.8888888888888888
MNIST.py,2,PC,0.1,"377,155,154,156,378,153,182,183,376,184,181,157,152,405,404,185,180,350,151,403,349,518,595,596,179,375,158,351,594,186,624,150,263,178,567,262,264,490,517,623,568,289,551,491,566,578,579,519,126,127,290,597,406,379,128,523,606,622,625,125,288,265,287,261,550,348,159,538,402,710,177,124,260,129,546,565,149,187,711,539,291,607,552,524,593,315,259,123,537,580,605,431,715,569,545,635,286,522,188,626",0.984,0.967741935483871,1.0
MNIST.py,2,PC,0.15,"377,155,154,156,378,153,182,183,376,184,181,157,152,405,404,185,180,350,151,403,349,518,595,596,179,375,158,351,594,186,624,150,263,178,567,262,264,490,517,623,568,289,551,491,566,578,579,519,126,127,290,597,406,379,128,523,606,622,625,125,288,265,287,261,550,348,159,538,402,710,177,124,260,129,546,565,149,187,711,539,291,607,552,524,593,315,259,123,537,580,605,431,715,569,545,635,286,522,188,626",0.984,0.967741935483871,1.0
MNIST.py,2,PC,0.2,"377,155,154,156,378,153,182,183,376,184,181,157,152,405,404,185,180,350,151,403,349,518,595,596,179,375,158,351,594,186,624,150,263,178,567,262,264,490,517,623,568,289,551,491,566,578,579,519,126,127,290,597,406,379,128,523,606,622,625,125,288,265,287,261,550,348,159,538,402,710,177,124,260,129,546,565,149,187,711,539,291,607,552,524,593,315,259,123,537,580,605,431,715,569,545,635,286,522,188,626",0.976,0.9516129032258065,1.0
MNIST.py,2,PC,0.25,"377,155,154,156,378,153,182,183,376,184,181,157,152,405,404,185,180,350,151,403,349,518,595,596,179,375,158,351,594,186,624,150,263,178,567,262,264,490,517,623,568,289,551,491,566,578,579,519,126,127,290,597,406,379,128,523,606,622,625,125,288,265,287,261,550,348,159,538,402,710,177,124,260,129,546,565,149,187,711,539,291,607,552,524,593,315,259,123,537,580,605,431,715,569,545,635,286,522,188,626",0.984,0.967741935483871,1.0
