AM,feature,wj
TR,5275,0.06658270555947388
TR,2102,0.05859336888399669
TR,1442,0.03209860356082117
TR,10227,0.02748861008857828
TR,4654,0.032346891176426085
TR,8201,0.04605444674198733
TR,1346,0.041887055854226474
TR,471,0.1064616441939254
TR,2581,0.025820183754325154
TR,11576,0.03541914759809106
TR,5788,0.04015248045826314
TR,5312,0.030128871040512983
TR,8245,0.0334714252255045
TR,16707,0.0478542062824
TR,8125,0.04892090608277466
TR,17217,0.026240711540123307
TR,438,0.029304034337743756
TR,10247,0.02927463475476133
TR,10373,0.03139875462524233
TR,10657,0.02541593948831644
TR,10691,0.024578051373317145
TR,12164,0.038520803602737685
TR,14597,0.022470245420693202
TR,2970,0.03455920979585447
TR,1296,0.03290548325309217
TR,15805,0.042188401579796864
TR,1868,0.03297898221054851
TR,8236,0.02171159203252937
TR,9259,0.022997823788011296
TR,11849,0.057191147140710163
TR,15506,0.040192403898326345
TR,18764,0.03576459269813437
TR,6456,0.056212002662419325
TR,10367,0.03328767783186426
TR,12381,0.03697732549615984
TR,16657,0.03961593806883368
TR,2939,0.031134158378400723
TR,8132,0.008694926667055625
TR,12154,0.04227660032874414
TR,14749,0.03476500687673145
TR,8140,0.022534780356038064
TR,10216,0.04192380533295492
TR,6750,0.04043177649659613
TR,10723,0.04063757357747344
TR,940,0.012987265782491098
TR,13427,0.034191715008573986
TR,11059,0.05669709578162929
TR,5210,0.03048736755278736
TR,10908,0.027466560401341544
TR,1740,0.043761279269357356
TR,13318,0.05505806903035859
TR,11230,0.048898856395537926
TR,806,0.05640309995180515
TR,1321,0.05433042935154331
TR,6640,0.031663350872084606
TR,6370,0.02935548360796325
TR,5273,0.03217784357427711
TR,15238,0.024872047203141734
TR,13282,0.07598949813652855
TR,2289,0.026472276843194087
TR,9984,0.02956128068884034
TR,3845,0.04087277024133262
TR,11592,0.03804306037927352
TR,6829,0.02578343427559704
TR,8183,0.044099374473655306
TR,16106,0.0422178011627794
TR,7423,0.04641459163352213
TR,14564,0.03696262570466868
TR,4488,0.025254241781913045
TR,7231,0.0335449241829604
TR,1722,0.04420227301409396
TR,1445,0.020579708087705928
TR,12734,0.04179885710527986
TR,10338,0.035103102081029736
TR,3247,0.042585295950059665
TR,15641,0.03243508992537347
TR,10668,0.046789436316548305
TR,9022,0.026180328645860174
TR,9498,0.030707864425155385
TR,16674,0.046511720041548354
TR,5172,0.04950889774242351
TR,13204,0.0449078630056724
TR,2829,0.024564931840780124
TR,17880,0.034103516259626376
TR,6892,0.04505486092058464
TR,8633,0.037433019032387604
TR,11899,0.03982334911086993
TR,3425,0.04777749818014354
TR,10976,0.04634844257181181
TR,7331,0.026569873120377396
TR,15218,0.037594716738791
TR,15355,0.030575566301734414
TR,4661,0.041622459607384865
TR,8232,0.03829295683462386
TR,11262,0.04296014063308584
TR,294,0.05297069863860526
TR,3278,0.03355227407870609
TR,949,0.04666448808887269
TR,15634,0.029759727873971298
TR,1488,0.05232390781299223
HSIC,7033,-128.74491984063206
HSIC,15534,76.43682986458407
HSIC,9997,67.2502025291069
HSIC,16480,422.19013464764066
HSIC,4853,-335.82413721679404
HSIC,13654,-341.4782475636148
HSIC,9535,-396.95832875146334
HSIC,2165,-146.62323808839756
HSIC,6434,102.3730154112327
HSIC,14457,-87.66509259760369
HSIC,8513,-318.51557097602563
HSIC,9180,176.2571056907891
HSIC,18215,-320.27086018925456
HSIC,16661,-115.62820651311631
HSIC,14865,-410.61748610686664
HSIC,10666,-828.7974017810175
HSIC,16249,89.6703225915353
HSIC,16001,-514.371865649101
HSIC,300,484.48139382118825
HSIC,7036,311.3978962924284
HSIC,9453,-94.23599971573731
HSIC,14842,613.5132052928902
HSIC,7882,-341.7836378002339
HSIC,3535,-247.3524207661394
HSIC,8366,-214.77814088191008
HSIC,9654,-58.20151685617839
HSIC,9484,-794.9408092655285
HSIC,9918,359.2703144773659
HSIC,8923,-435.10415552594895
HSIC,7035,144.97888422642336
HSIC,11208,-293.9266586340309
HSIC,18249,73.67631591855752
HSIC,15527,-243.25057416483924
HSIC,1062,331.98332659059815
HSIC,16654,-557.9187724896692
HSIC,5170,-419.8223165196541
HSIC,9094,-87.02902176203588
HSIC,4117,32.467832410879055
HSIC,9303,-497.4844973069212
HSIC,12259,-172.17547066516
HSIC,9531,-149.70173680817607
HSIC,5710,-210.08572727393403
HSIC,10680,-323.46044543002427
HSIC,7192,-143.24337940300938
HSIC,2551,-221.9852920455778
HSIC,2214,178.20251614759036
HSIC,1957,18.814791345006597
HSIC,4746,-280.15263006031637
HSIC,14709,-164.29263044434083
HSIC,9240,-428.6057580907727
HSIC,4121,-488.39688684003886
HSIC,9485,-231.8463727449316
HSIC,9480,-23.225602293480733
HSIC,9045,-354.8326073385333
HSIC,8071,16.03477564034165
HSIC,7370,-157.03942344543066
HSIC,13163,-132.90569491382848
HSIC,1508,-57.490335364551356
HSIC,15049,-33.74486209822953
HSIC,6652,20.947545594343183
HSIC,9189,261.70662510549937
HSIC,14823,-286.8595202579995
HSIC,4228,-54.04549177751869
HSIC,1762,-124.5408420571357
HSIC,8786,87.1850579252241
HSIC,2130,499.20321870565385
HSIC,11985,-16.62434182701844
HSIC,8867,-614.3366327937447
HSIC,10417,-482.79737387458863
HSIC,11458,-156.89633254310093
HSIC,5223,-125.6626290755703
HSIC,9222,-430.64062363271205
HSIC,8965,-158.8712587563041
HSIC,7590,124.08262992818618
HSIC,6807,-171.99624934681196
HSIC,3360,-48.656997410816984
HSIC,918,-264.9927122185991
HSIC,14831,-258.3612080889161
HSIC,14419,-170.38709241492325
HSIC,2432,-309.6758068367544
HSIC,7197,481.15614822482166
HSIC,9136,-7.839692799883892
HSIC,10957,537.865490200229
HSIC,7317,-792.9985667436122
HSIC,12744,34.16303708721807
HSIC,12531,-173.99516461315216
HSIC,17404,299.54611024525275
HSIC,9203,1163.5240250270072
HSIC,274,155.96319520860743
HSIC,1915,7.948740562768762
HSIC,14182,-197.4300456869587
HSIC,9132,366.980630721278
HSIC,6540,-256.1571684854953
HSIC,14546,-342.1063917262063
HSIC,1347,-457.3523240235427
HSIC,7688,-175.89526298722012
HSIC,7516,270.4485846557982
HSIC,11989,-468.6676667957381
HSIC,9112,218.05917631997363
HSIC,924,-307.3510508726358
MMD,11678,0.010945305818351292
MMD,8201,0.03509459541279947
MMD,1442,0.02739950516562084
MMD,18249,-0.0010219759178178855
MMD,8245,0.024890547562617438
MMD,9189,0.002678675768544414
MMD,14597,0.028006111800566058
MMD,7590,0.0060399354422241425
MMD,8236,0.022454046924681503
MMD,10657,0.02284130998074818
MMD,7033,-0.005017561447422325
MMD,9180,-0.00036061135072545936
MMD,2581,0.02929536227514723
MMD,2165,0.003441032114934295
MMD,8528,0.013685242926592123
MMD,6434,-0.00603137458573183
MMD,10666,0.0074423019141403035
MMD,15534,-0.0038043571684073796
MMD,8407,0.0030397599556320487
